;nro_importaciones;nro_usados;nro_nuevo;nro_otros;nro_destino_europa;nro_destino_asia;nro_destino_america;nro_destino_africa;nro_destino_oceania;total_pesoneto;importe_aduana;importe_iva;importe_salvaguardia;cluster.km
1.79032E+12;97;0;97;0;25;5;67;0;0;13508933;11099964;1458024;33471;5
9.90011E+11;95;0;92;3;9;7;79;0;0;927404;10766327;1336606;0;5
1.79129E+12;91;0;91;0;1;7;83;0;0;1288598;3362721;494489;235887;5
1.79185E+12;91;0;91;0;0;0;91;0;0;17195;2810619;358068;0;5
1.79023E+12;90;0;90;0;0;38;51;1;0;6496959;57306121;7304281;310959;10
1.79002E+12;87;0;87;0;10;28;49;0;0;1382434;7559868;1166727;339079;5
1.79131E+12;83;0;83;0;6;8;69;0;0;1915706;2922074;388149;102678;5
1.90115E+11;72;0;36;36;13;5;54;0;0;5970528;2054135;251076;0;3
9.90604E+11;72;0;72;0;17;0;55;0;0;256635;1682697;239186;130825;5
1.79177E+12;72;0;58;14;0;0;72;0;0;814;306061;38810;0;3
1.90072E+11;68;0;68;0;0;52;16;0;0;2186585;3996621;591213;10307;6
9.90019E+11;68;0;68;0;6;10;52;0;0;1420751;11224243;1412231;97252;5
9.91321E+11;67;0;67;0;8;14;45;0;0;468452;2741865;418991;206325;5
1.79001E+12;65;0;65;0;14;3;48;0;0;2069186;3421114;423431;0;1
1.79053E+12;65;5;60;0;5;9;48;3;0;380889;5248152;678597;0;7
9.90022E+11;64;0;64;0;11;8;45;0;0;1806201;17784524;2352395;262066;5
1.79011E+12;64;4;59;1;9;4;51;0;0;200965;2683105;345736;1197;4
9.90032E+11;61;0;61;0;11;2;48;0;0;669986;2283576;347457;109479;5
9.91029E+11;61;0;61;0;6;29;26;0;0;1624524;3779184;466064;13983;6
1.79037E+12;61;0;60;1;22;3;36;0;0;246941;6817083;898057;24220;1
1.79069E+12;60;0;60;0;18;8;33;1;0;46289;1577198;191256;0;1
9.90007E+11;58;0;57;1;14;6;38;0;0;18178417;14301488;1732614;4659;9
9.90321E+11;57;0;57;0;10;20;27;0;0;812808;2566116;327034;16008;6
9.92125E+11;57;0;57;0;0;50;7;0;0;959163;3152910;470665;21839;6
1.79135E+12;56;0;56;0;4;7;44;0;1;380159;2768626;352185;14477;4
1.79016E+12;55;0;55;0;4;28;23;0;0;7724932;3282704;449540;9188;6
1.79021E+12;55;0;55;0;8;28;19;0;0;2226743;2539278;351681;5454;6
1.79135E+12;55;0;55;0;0;0;54;0;1;558870;2204873;342312;308744;5
1.79132E+12;53;0;53;0;10;0;43;0;0;1258805;3867242;530112;178216;5
1.89001E+12;53;0;53;0;5;10;38;0;0;2232908;3298558;406166;21598;4
9.90008E+11;52;0;52;0;5;27;20;0;0;777646;4176277;542125;5059;6
9.90024E+11;52;0;52;0;15;0;36;0;1;5623828;5512499;728235;57833;1
5.90039E+11;51;2;49;0;11;17;23;0;0;14542851;10463024;1279368;1659;9
1.79237E+12;51;0;51;0;15;12;24;0;0;582519;1865245;237882;3358;1
1.79241E+12;51;0;51;0;24;5;22;0;0;1628044;11423111;1492108;15371;1
9.90854E+11;50;0;50;0;19;14;17;0;0;1342191;1831228;226019;12402;1
9.91279E+11;49;0;49;0;23;5;21;0;0;371506;4337919;538820;0;1
9.90299E+11;48;0;48;0;0;37;11;0;0;653088;1404148;219754;0;6
1.79E+12;48;19;29;0;12;5;31;0;0;28138687;13022323;1608807;2592;9
1.7906E+12;48;0;48;0;1;35;12;0;0;1193097;9021338;1309710;92271;6
1.79208E+12;48;0;48;0;3;8;37;0;0;1850498;2742775;364962;84523;4
1.79022E+12;47;0;47;0;39;3;5;0;0;55037;1386440;174694;12759;1
1.89006E+12;47;0;47;0;4;2;41;0;0;1258798;777363;94202;0;4
9.9001E+11;46;0;46;0;3;34;9;0;0;1651415;2012296;297180;0;6
9.90015E+11;46;0;46;0;17;4;25;0;0;34359;2536936;309654;0;1
9.90293E+11;46;0;46;0;22;3;21;0;0;60386;1223362;162569;523;1
1.79048E+12;46;0;46;0;24;9;13;0;0;25835;4583690;561943;0;1
9.91054E+11;45;0;45;0;5;11;29;0;0;801201;5372224;664450;25902;4
1.79001E+12;44;0;44;0;2;0;42;0;0;940247;2055206;257757;0;4
1.79072E+12;44;0;44;0;15;1;28;0;0;73659;2838057;363303;0;1
9.90018E+11;41;0;41;0;0;40;1;0;0;390666;1881261;286157;0;6
1.79001E+12;41;0;41;0;22;3;16;0;0;111456;1505597;189127;15765;1
3.01142E+11;40;0;40;0;0;0;40;0;0;2827;172261;24250;0;4
1.90122E+11;39;0;39;0;33;1;5;0;0;1329407;2494667;309457;11983;1
9.90036E+11;39;0;39;0;9;0;30;0;0;105221;6917740;882334;5033;4
9.90335E+11;39;0;37;2;0;0;39;0;0;1399786;3762261;583140;363796;5
1.76815E+12;39;0;39;0;5;9;25;0;0;399316;27791806;3721721;0;4
1.79001E+12;39;0;39;0;8;2;29;0;0;1235739;12182364;2366465;1058218;5
9.92262E+11;38;0;38;0;1;0;37;0;0;117027;5551481;714355;20567;4
1.79134E+12;38;0;38;0;2;13;23;0;0;994977;1744497;211308;0;4
9.90011E+11;37;0;37;0;1;0;36;0;0;92163;2104132;330506;102045;4
1.76815E+12;37;0;37;0;4;18;15;0;0;8242106;60176109;7999068;0;10
1.9005E+11;36;0;36;0;0;14;22;0;0;3338106;4309646;527881;9800;4
9.92846E+11;36;0;5;31;0;1;35;0;0;7936223;7931733;1211889;541912;3
9.90004E+11;35;0;35;0;6;3;26;0;0;3247389;4041794;497012;0;4
9.90033E+11;35;0;35;0;11;0;24;0;0;118216;1476001;185860;1355;1
1.76815E+12;35;0;35;0;2;1;32;0;0;1214989;21384217;2770828;0;4
1.79023E+12;35;0;35;0;29;2;4;0;0;15634;3359132;425099;0;1
1.79143E+12;35;0;35;0;0;9;26;0;0;196471;7406719;940738;0;4
1.79185E+12;35;0;32;3;0;29;6;0;0;56292;2512372;316373;0;6
1.79207E+12;35;0;35;0;0;29;6;0;0;201298;2746551;524862;0;6
1.7922E+12;35;0;34;1;10;22;3;0;0;418499;1840404;237211;0;6
1.79244E+12;35;0;35;0;0;8;27;0;0;126076;1047711;126999;248;4
9.90017E+11;34;0;34;0;15;0;19;0;0;239976;681663;83901;0;1
9.90021E+11;34;1;33;0;11;2;21;0;0;253354;658819;82980;54;1
9.92177E+11;34;0;29;5;3;1;30;0;0;892659;2157804;288249;39692;4
1.79004E+12;34;0;34;0;0;9;25;0;0;877218;2958188;437809;97044;4
1.79008E+12;34;0;34;0;6;5;23;0;0;337041;706072;89246;6553;4
1.79037E+12;34;0;34;0;23;0;11;0;0;1472878;1576919;205549;24891;1
1.79174E+12;34;0;34;0;0;16;18;0;0;678858;5265876;838569;0;4
1.79002E+12;33;0;33;0;4;7;22;0;0;101859;1422192;192891;643;4
1.79209E+12;33;0;33;0;0;9;24;0;0;1463455;610879;73658;0;4
1.79237E+12;33;0;33;0;1;10;22;0;0;58870;975851;128411;2215;4
9.90005E+11;32;0;32;0;4;11;17;0;0;14969076;7740046;939691;9829;9
9.90785E+11;32;0;32;0;3;0;29;0;0;11058;294437;37184;0;4
1.90008E+11;31;0;31;0;5;13;13;0;0;512334;7479777;992186;0;4
9.90341E+11;31;0;31;0;3;4;24;0;0;387840;1054017;139606;0;4
9.9084E+11;31;0;31;0;11;8;12;0;0;3578979;2186219;265709;1274;4
1.79014E+12;31;0;31;0;3;10;18;0;0;1473126;1438124;177379;0;4
1.79024E+12;31;0;31;0;3;3;25;0;0;844240;2582347;333924;16283;4
9.90001E+11;30;0;30;0;0;7;23;0;0;2150386;4213764;513401;0;4
9.90019E+11;30;0;30;0;3;9;18;0;0;700490;3205852;443340;51565;4
9.90226E+11;30;0;30;0;12;0;18;0;0;193275;2261730;289667;0;1
9.90371E+11;30;0;30;0;9;10;11;0;0;162912;1290329;189040;0;8
1.7913E+12;30;0;30;0;5;5;20;0;0;1239470;2017952;245688;4388;4
1.79136E+12;30;0;30;0;3;4;23;0;0;147534;2662868;347511;363;4
1.79201E+12;30;0;30;0;0;0;30;0;0;458904;1237286;206913;210469;4
1.79242E+12;30;0;30;0;23;0;7;0;0;31349;734201;144286;0;1
1.79033E+12;29;0;29;0;21;1;7;0;0;37589;664278;82172;0;1
9.90129E+11;28;0;28;0;10;9;9;0;0;106434;1532055;190144;0;8
9.91295E+11;28;0;28;0;3;7;18;0;0;12856118;12644557;1558915;53044;9
1.79058E+12;28;0;28;0;7;18;3;0;0;5007335;2666106;323382;0;13
1.79125E+12;28;0;28;0;2;10;16;0;0;121925;7864741;1058249;0;4
1.79181E+12;28;0;28;0;5;13;10;0;0;838671;2122929;269938;0;13
